section	other sections this parameter is in	section order	parameter order	FieldID	name	fieldType	IndexType	unitSet	unitModel	unitMetric	unitEnglish	lowerBound	upperBound	defaultValue	regrow	readOnly	accessString	transferType	hint
Leaves	Biomass	4	34	kLeafSCurve	Growth curve	1 Single	3 S curve	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.25 0.1 0.65 0.85	TRUE	FALSE	pLeaf.sCurveParams	2 S curve	"Fraction of final optimal (best) leaf biomass (Y) for a given leaf age (X). Leaves tend to grow in an s-curve fashion, so simulated leaf demands for biomass from the plant attempt to follow this curve."
Leaves	Biomass	4	35	kLeafOptimalFractionOfOptimalBiomassAtCreation_frn	Fraction of optimal final biomass at creation	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.2	TRUE	FALSE	pLeaf.optimalFractionOfOptimalBiomassAtCreation_frn	1 MFD	"A leaf is created by a meristem with some amount of biomass, and then grows to its final biomass. This is the fraction of final biomass the leaf has when it is created. If zero, the leaf starts with nothing; if one, the leaf starts at full size."
Leaves		4	36	header	Timing	7 Header	Timing parameters set bounds on how slowly or quickly plant parts can grow to create a realistic growth pattern. These limits effect how many of the plant parts the plant can create during its lifetime (though the general biomass growth curve limits that too).												
Leaves	Timing	4	37	kLeafMinDaysToGrow	Minimum days to grow	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	3	TRUE	FALSE	pLeaf.minDaysToGrow	1 MFD	"The shortest number of days in which a leaf can grow to maturity, no matter how much biomass is available. This simulates physical limitations on the rate of growth."
Leaves	Timing	4	38	kLeafMaxDaysToGrow	Maximum days to grow	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	10	TRUE	FALSE	pLeaf.MaxDaysToGrow	1 MFD	Days a leaf will accumulate biomass towards the optimal leaf biomass before it gives up and stops growing. This simulates the plant's concentration of resources on newer plant parts.
Seedling leaves		5	1	header	Drawing	7 Header	"Seedling leaves, or cotyledons, are the first leaves that form on the plant. They often look quite different from the leaves that come afterward."												
Seedling leaves	3D objects	5	2	kSeedlingLeafObject3D	Seedling leaf 3D object	5 3D object	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			"N[Default 3D object],P[134 245 150],P[113 208 145],P[135 209 150],P[109 171 142],P[136 171 147],P[135 136 138],P[156 208 145],P[159 171 140],T[1 2 3],T[3 2 4],T[3 4 5],T[4 6 5],T[3 7 1],T[7 3 5],T[8 7 5],T[8 5 6]"	FALSE	FALSE	pSeedlingLeaf.leafTdoParams.object3D	3 3D Object	The 3D object used to draw the seedling leaf or leaves (cotyledons) of this plant when it has just emerged from germination.
Seedling leaves	3D object scales	5	3	kSeedlingLeafScale	Seedling leaf scale at full size	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	20	FALSE	FALSE	pSeedlingLeaf.leafTdoParams.scaleAtFullSize	1 MFD	The drawing scale of the seedling leaf 3D object when the seedling leaf is fully grown.
Seedling leaves	Rotations	5	4	kSeedlingLeafObject3DXRotationBeforeDraw	Seedling leaf X rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	90	FALSE	FALSE	pSeedlingLeaf.leafTdoParams.xRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the X dimension by this amount. For leaves, this will normally be either 90 degrees or -90 degrees. Normally you will leave this at 90 or -90, but you might need to set it differently if you have imported 3D objects from DXF files."
Seedling leaves	Rotations	5	5	kSeedlingLeafObject3DYRotationBeforeDraw	Seedling leaf Y rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pSeedlingLeaf.leafTdoParams.yRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Y dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Seedling leaves	Rotations	5	6	kSeedlingLeafObject3DZRotationBeforeDraw	Seedling leaf Z rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pSeedlingLeaf.leafTdoParams.zRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Z dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Seedling leaves	Colors	5	7	kSeedlingLeafFaceColor	Seedling leaf front face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 100 50	FALSE	FALSE	pSeedlingLeaf.leafTdoParams.FaceColor	1 MFD	The front face (facing up) color for seedling leaves.
Seedling leaves	Colors	5	8	kSeedlingLeafBackfaceColor	Seedling leaf back face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			100 200 100	FALSE	FALSE	pSeedlingLeaf.leafTdoParams.BackfaceColor	1 MFD	The back face (facing down) color for seedling leaves.
Seedling leaves		5	9	header	Timing	7 Header	"The seedling leaves usually fall off the plant at some point. To place that point developmentally, we measure it by the number of internodes the plant has when the seedling leaves fall off. "												
Seedling leaves		5	10	kSeedlingLeafNodesOnStemWhenFallsOff	Number of nodes on main stem when seedling leaf falls off	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	1	50	3	TRUE	FALSE	pSeedlingLeaf.NodesOnStemWhenFallsOff	1 MFD	"This is when the seedling leaf or leaves for this plant should fall off, based on the number of nodes (leaf positions) on the main stem. For example, if this number is 4, the seedling leaves will disappear when four leaves have appeared above the seedling leaves."
Primary flowers		6	1	header	Petals	7 Header	"Primary flowers are perfect (hermaphroditic) or female, and secondary flowers are only male. Ninety percent of flowering plants have only perfect flowers. The primary flower parameters are divided into 'simple' and 'advanced' categories, the 'advanced' category including all the flower parts except one row of petals."												
Primary flowers		6	2	kFlowerNumPetalsFemale	Number of petals on flower	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	1	30	5	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].repetitions	1 MFD	The number of petals in this row on the flower.
Primary flowers		6	3	kFlowerFemaleObject3D	Flower petal 3D object	5 3D object	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			"N[Default 3D object],P[134 245 150],P[113 208 145],P[135 209 150],P[109 171 142],P[136 171 147],P[135 136 138],P[156 208 145],P[159 171 140],T[1 2 3],T[3 2 4],T[3 4 5],T[4 6 5],T[3 7 1],T[7 3 5],T[8 7 5],T[8 5 6]"	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].object3D	3 3D Object	The 3D object used to draw first-row petals.
Primary flowers		6	4	kFlowerScaleAtFullSizeFemale	Flower petal scale at full size	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	3	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].ScaleAtFullSize	1 MFD	The drawing scale of the first-row petal 3D object when the flower is fully grown.
Primary flowers		6	5	kFlowerFemaleObject3DXRotationBeforeDraw	Flower petal X rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].xRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the X dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Primary flowers		6	6	kFlowerFemaleObject3DYRotationBeforeDraw	Flower petal Y rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].yRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Y dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Primary flowers		6	7	kFlowerFemaleObject3DZRotationBeforeDraw	Flower petal Z rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].zRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Z dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Primary flowers		6	8	kFlowerFemaleFaceColor	Flower petal front face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			100 100 0	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].FaceColor	1 MFD	The front face (facing in) color for flower petals.
Primary flowers		6	9	kFlowerFemaleBackfaceColor	Flower petal back face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			150 150 0	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].BackfaceColor	1 MFD	The back face (facing out) color for flower petals.
Primary flowers		6	10	kFlowerPetalsAreRadiallyArrangedFemale	Flower petals are radially arranged	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			TRUE	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].radiallyArranged	1 MFD	"If 'yes', the petals in this row are drawn rotated at different angles to make them form a circle around the stem. If 'no', they are all drawn at the same angle (and usually there is only one oddly-shaped 3D object)."
Primary flowers		6	11	kFlowerFemaleObject3DPullbackAngle	Angle between petals and main stem	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pFlower[kGenderFemale].tdoParams[kFirstPetals].pullBackAngle	1 MFD	The angle at which the first-row petals are drawn back from the center of the flower. Usually you will want to specify an increasing angle for each layer of floral parts. How this appears on the plant depends on how the 3D object you are using for petals was defined.
Primary flowers		6	12	header	Creation and growth	7 Header	"The size of any plant part is determined by an 'optimal' size and the actual conditions of growth. Plant parts compete for the available nutrients, as established by the general growth parameters. To simplify things, we express the weight (biomass) of plant parts simply as a percentage of the total final weight of the plant."												
Primary flowers		6	13	kFlowerOptimalBiomassFemale	Optimal biomass (as percent of maximum plant biomass)	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0.0001	20	1	TRUE	FALSE	pFlower[kGenderFemale].OptimalBiomass_pctMPB	1 MFD	"The biomass (dry weight) of a complete or best flower, expressed as a percentage of final plant dry weight."
Primary flowers		6	14	kFlowerMinFractOptBiomassToOpenFlowerFemale	Minimum fraction of optimal biomass needed to open	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.5	TRUE	FALSE	pFlower[kGenderFemale].MinFractionOfOptimalBiomassToOpenFlower_frn	1 MFD	The smallest fraction of the optimal (best) amount of flower biomass that must be accumulated before the flower can open.
Primary flowers		6	15	kFlowerMinFractionOfOptimalBiomassToCreateFruitFemale	Minimum fraction of optimal biomass needed to set fruit	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.8	TRUE	FALSE	pFlower[kGenderFemale].minFractionOfOptimalBiomassToCreateFruit_frn	1 MFD	The smallest fraction of the optimal (best) amount of flower biomass that must be accumulated before the flower can create a fruit.
Primary flowers		6	16	header	Timing	7 Header	"Timing parameters set bounds on how slowly or quickly plant parts can grow to create a realistic growth pattern. For female or perfect flowers, additional timing limits support showing (or not showing) different stages of flower and fruit development."												
Primary flowers		6	17	kFlowerMinDaysToGrowFemale	Minimum days to grow	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	3	TRUE	FALSE	pFlower[kGenderFemale].MinDaysToGrow	1 MFD	"The shortest number of days in which the flower can grow to maturity, no matter how much biomass is available. This simulates physical limitations on the rate of growth."
Primary flowers		6	18	kFlowerMaxDaysToGrowIfOverMinFractionFemale	Maximum days to grow	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	10	TRUE	FALSE	pFlower[kGenderFemale].MaxDaysToGrowIfOverMinFraction	1 MFD	Days the flower will accumulate biomass towards maturity before it gives up and stops growing. This simulates the plant's concentration of resources on newer meristems.
Primary flowers		6	19	kFlowerMinDaysBeforeOpeningFemale	Minimum days before opening	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	100	3	TRUE	FALSE	pFlower[kGenderFemale].minDaysToOpenFlower	1 MFD	The shortest number of days after flower creation that the flower can open from the flower bud.
Primary flowers		6	20	kFlowerMinDaysBeforeSettingFruit	Minimum days before fruit can be set	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	200	3	TRUE	FALSE	pFlower[kGenderFemale].minDaysBeforeSettingFruit	1 MFD	The shortest number of days the flower can appear and grow before it can set a fruit. Set this to a high number if you don't want fruits on your plant.
Primary flowers		6	21	kFlowerDaysBeforeDropFemale	Days until drop if fruit not set	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	200	200	TRUE	FALSE	pFlower[kGenderFemale].DaysBeforeDrop	1 MFD	Days between the appearance of flowers and their abscission (falling off).
Primary inflorescences		8	1	header	Architecture	7 Header	"An inflorescence is a structure that holds the flowers on the plant. It can have many shapes, many of which can be created by combining these parameters (note that sunflower-like inflorescences have a special parameter). As with flowers, inflorescences can be primary (hermaphroditic or female) or secondary (male only)."												
Primary inflorescences		8	2	kInflorescenceNumFlowersOnMainBranchFemale	Number of flowers on main branch	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	30	3	TRUE	FALSE	pInflor[kGenderFemale].numFlowersOnMainBranch	1 MFD	The number of flowers on the main branch of the inflorescence. This is produced without variation.
Primary inflorescences		8	3	kInflorescenceNumFlowersPerBranchFemale	Number of flowers per secondary branch	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	30	3	TRUE	FALSE	pInflor[kGenderFemale].numFlowersPerBranch	1 MFD	"The number of flowers on each secondary branch (not the main branch) of the inflorescence. This number of flowers will be produced on each branch whenever an inflorescence is produced, with no variation."
Primary inflorescences		8	4	kInflorescenceNumBranchesFemale	Number of secondary branches	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	10	3	TRUE	FALSE	pInflor[kGenderFemale].NumBranches	1 MFD	"The number of secondary inflorescence stems on the inflorescence. For spikes, racemes and umbels, this number should be zero. For panicles, this number depends on the number of flowers. Tertiary branches cannot be drawn."
Primary inflorescences		8	5	kInflorescenceFemaleStalkColor	Stalk color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 100 50	FALSE	FALSE	pInflor[kGenderFemale].StalkColor	1 MFD	The color of the inflorescence stem.
Primary inflorescences		8	6	kInflorescenceFemalePedicelColor	Pedicel color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 100 50	FALSE	FALSE	pInflor[kGenderFemale].pedicelColor	1 MFD	The color of pedicels (flower stems).
Primary inflorescences		8	7	kInflorescenceBranchesAreAlternateFemale	Inflorescence branches are alternate	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			TRUE	FALSE	FALSE	pInflor[kGenderFemale].BranchesAreAlternate	1 MFD	"If 'yes', the branches on the inflorescence are alternate (one to the left, then one to the right, etc). If 'no', the branches on the inflorescence (if any) will be drawn opposite (in pairs)."
Primary inflorescences		8	8	kInflorescenceBranchAngleFemale	Angle of inflor. branch with inflor. stem	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	0	180	40	FALSE	FALSE	pInflor[kGenderFemale].BranchAngle	1 MFD	"The angle between the main inflorescence stem and each 'branch' of the inflorescence -- that is, each secondary inflorescence stem. Panicle inflorescences have branches; racemes do not."
Primary inflorescences		8	9	kInflorescenceInternodeAngleFemale	Angle between flowers (to bend infllorescence)	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	0	30	0	FALSE	FALSE	pInflor[kGenderFemale].angleBetweenInternodes	1 MFD	"The angle between sections of the inflorescence. To make the inflorescence bend over its length, make this angle greater than zero."
Primary inflorescences		8	10	kInflorescencePedicelAngleFemale	Angle of pedicel with inflor. stem	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	0	180	40	FALSE	FALSE	pInflor[kGenderFemale].PedicelAngle	1 MFD	The angle between the main inflorescence stem and each single flower stalk or pedicel.
Primary inflorescences		8	11	kInflorescencePeduncleAngleFromVegetativeStemFemale	Angle of peduncle with plant stem if axillary	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	40	FALSE	FALSE	pInflor[kGenderFemale].peduncleAngleFromVegetativeStem	1 MFD	The angle at the start of the inflorescence if it comes out of an axillary bud from a plant stem (not used if the inflorescence is apical).
Primary inflorescences		8	12	kInflorescencePeduncleAngleFromVegetativeStemApicalFemale	Angle of peduncle with plant stem if apical	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pInflor[kGenderFemale].apicalStalkAngleFromVegetativeStem	1 MFD	The angle at the start of the inflorescence if it comes out of an apical bud from a plant stem (not used if the inflorescence is axillary).
Primary inflorescences		8	13	kInflorescenceFlowersSpiralOnStemFemale	Flowers spiral around main stem	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			TRUE	FALSE	FALSE	pInflor[kGenderFemale].FlowersSpiralOnStem	1 MFD	"If 'yes', the flowers on the inflorescence are drawn using the same phyllotaxis (spiraling) around the inflorescence stem (and branches) as is used for the main stem. If 'no', the flowers are drawn without spiraling."
Primary inflorescences		8	14	kInflorescenceIsHeadFemale	Head type (like sunflower)	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			FALSE	FALSE	FALSE	pInflor[kGenderFemale].IsHead	1 MFD	"If 'yes', the inflorescence is of the composite type. The small disc flowers are drawn in a circle, each with one petal that looks something like a ray flower. This is not botanically accurate but looks right."
Primary inflorescences		8	15	header	Size	7 Header	These parameters control how large all the parts of the inflorescence will appear on the plant. Apical inflorescences are found at the tips of branches; axillary inflorescences are found in the angle between leaf and stem.												
Primary inflorescences		8	16	kInflorescenceTerminalStalkLengthFemale	Primary stalk length if apical (terminal)	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0	200	0	FALSE	FALSE	pInflor[kGenderFemale].TerminalStalkLength_mm	1 MFD	The length of the main inflorescence stem before the first flower if the inflorescence is apical (at the apex or end of a plant stem).
Primary inflorescences		8	17	kInflorescencePeduncleLengthFemale	Primary stalk length if axillary	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0	200	10	FALSE	FALSE	pInflor[kGenderFemale].PeduncleLength_mm	1 MFD	The length of the inflorescence stem before the first flower stalk (pedicel) if the  inflorescence is axillary (coming out of the leaf axils on plant stems).
Primary inflorescences		8	18	kInflorescenceInternodeLengthFemale	Internode length (between flowers)	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0	200	10	FALSE	FALSE	pInflor[kGenderFemale].InternodeLength_mm	1 MFD	"The length of the segments of the main inflorescence stem between pedicels (flower stalks). Similar to the internode length for the entire plant. For an umbelliferous flower, make this number very small; for a raceme or spike make this number larger."
Primary inflorescences		8	19	kInflorescencePedicelLengthFemale	Pedicel (flower stalk) length	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0	200	10	FALSE	FALSE	pInflor[kGenderFemale].PedicelLength_mm	1 MFD	The length of each pedicel (flower stalk) in the inflorescence.
Primary inflorescences		8	20	kInflorescenceInternodeWidthFemale	Stem width	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0.1	20	2	FALSE	FALSE	pInflor[kGenderFemale].InternodeWidth_mm	1 MFD	The width of the inflorescence stem when the inflorescence is fully grown.
Primary inflorescences		8	21	kInflorescencePedicelTaperIndexFemale	Pedicel taper index	2 Smallint	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	100	FALSE	FALSE	pInflor[kGenderFemale].pedicelTaperIndex	1 MFD	"How much to taper the pedicel's width as it reaches the flower. For no tapering, choose 100% of initial width (the default). To taper the pedicel, choose a lower percentage."
Primary inflorescences		8	22	header	Creation and growth	7 Header	"The size of any plant part is determined by an 'optimal' size and the actual conditions of growth. Plant parts compete for the available nutrients, as established by the general growth parameters. To simplify things, we express the weight (biomass) of plant parts simply as a percentage of the total final weight of the plant."												
Primary inflorescences		8	23	kInflorescenceIsTerminalFemale	Apical (terminal)	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			FALSE	TRUE	FALSE	pInflor[kGenderFemale].IsTerminal	1 MFD	The primary inflorescences for this plant are apical (at the apex or end of a plant stem). This parameter is only used if separate primary and secondary inflorescences are present on the plant.
Primary inflorescences		8	24	kInflorescenceBiomassRequiredFemale	Optimal biomass (as percent of maximum plant biomass)	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0.0001	20	3	TRUE	FALSE	pInflor[kGenderFemale].optimalBiomass_pctMPB	1 MFD	"The biomass (dry weight) of a complete or best inflorescence, expressed as a percentage of final plant dry weight."
Primary inflorescences		8	25	kInflorescenceMinFractOptBiomassToCreateFemale	Minimum fraction of optimal biomass needed to create	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.1	TRUE	FALSE	pInflor[kGenderFemale].MinFractionOfOptimalBiomassToCreateInflorescence_frn	1 MFD	The smallest fraction of the optimal (best) amount of inflorescence biomass that must be accumulated before the inflorescence can be created.
Primary inflorescences		8	26	kInflorescenceMinFractOptBiomassForFlowersFemale	Minimum fraction of optimal biomass needed to make flowers	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.3	TRUE	FALSE	pInflor[kGenderFemale].MinFractionOfOptimalBiomassToMakeFlowers_frn	1 MFD	The smallest fraction of the optimal (best) amount of inflorescence biomass that must be accumulated before the inflorescence can begin to create flowers.
Primary inflorescences		8	27	header	Timing	7 Header	"Timing parameters set bounds on how slowly or quickly plant parts can grow to create a realistic growth pattern. For inflorescences, timing parameters control not only limits on growth, but also how the inflorescence produces its flowers."												
Primary inflorescences		8	28	kInflorescenceDaysToAllFlowersShowingFemale	Days for all flowers to develop	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	10	TRUE	FALSE	pInflor[kGenderFemale].daysToAllFlowersCreated	1 MFD	"Days it takes to create the flowers on the inflorescence. Flowers are created without accumulating biomass beforehand. They begin to demand biomass as soon as they are created, to open from buds to flowers and then to grow to full size."
Primary inflorescences		8	29	kInflorescenceFlowersDrawTopToBottomFemale	Flowers develop from top to bottom	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			FALSE	TRUE	FALSE	pInflor[kGenderFemale].FlowersDrawTopToBottom	1 MFD	"If 'yes', the flowers on the inflorescence develop in order from the top to the bottom (basipetal). If 'no', flowers develop from the bottom to the top (acropetal)."
Primary inflorescences		8	30	kInflorescenceMinDaysToCreateInflorescenceFemale	Minimum days for meristem to create	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	3	TRUE	FALSE	pInflor[kGenderFemale].MinDaysToCreateInflorescence	1 MFD	"The shortest number of days in which a reproductive meristem can produce an inflorescence, no matter how much biomass is available. This simulates physical limitations on the rate of growth."
Primary inflorescences		8	31	kInflorescenceMaxDaysToCreateIfOverMinFractFemale	Maximum days for meristem to create	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	10	TRUE	FALSE	pInflor[kGenderFemale].MaxDaysToCreateInflorescenceIfOverMinFraction	1 MFD	Days a reproductive meristem will accumulate biomass towards creation of an inflorescence before it gives up and creates a smaller inflorescence. This simulates the plant's concentration of resources on newer meristems.
Primary inflorescences		8	32	kInflorescenceMinDaysToGrowFemale	Minimum days to grow	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	3	TRUE	FALSE	pInflor[kGenderFemale].MinDaysToGrow	1 MFD	The shortest number of days in which the inflorescence can possibly reach its optimal biomass after its creation. This simulates physical limitations on the rate of growth.
Primary inflorescences		8	33	kInflorescenceMaxDaysToGrowFemale	Maximum days to grow	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	10	TRUE	FALSE	pInflor[kGenderFemale].MaxDaysToGrow	1 MFD	Days the inflorescence will attempt to accumulate biomass to reach its optimal biomass (after its creation) before it stops growing. This simulates the plant's concentration of resources on the demands of newer plant parts.
Primary inflorescences		8	34	header	Bracts	7 Header	Some inflorescences begin with a set of modified leaves called bracts. The red 'petals' of poinsetta plants are actually large bracts below the tiny yellow flowers in the inflorescence.												
Primary inflorescences		8	35	kInflorescenceFemaleBractNumBracts	Number of bracts	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	1	10	5	FALSE	FALSE	pInflor[kGenderFemale].bractTdoParams.repetitions	1 MFD	The number of inflorescence bracts.
Primary inflorescences		8	36	kInflorescenceFemaleBractObject3D	Bract 3D object	5 3D object	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			"N[Default 3D object],P[134 245 150],P[113 208 145],P[135 209 150],P[109 171 142],P[136 171 147],P[135 136 138],P[156 208 145],P[159 171 140],T[1 2 3],T[3 2 4],T[3 4 5],T[4 6 5],T[3 7 1],T[7 3 5],T[8 7 5],T[8 5 6]"	FALSE	FALSE	pInflor[kGenderFemale].bractTdoParams.object3D	3 3D Object	The 3D object used to draw inflorescence bracts.
Primary inflorescences		8	37	kInflorescenceFemaleBractScaleAtFullSize	Bract scale at full size	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	100	0	FALSE	FALSE	pInflor[kGenderFemale].bractTdoParams.scaleAtFullSize	1 MFD	The drawing scale of the inflorescence bract 3D object when the inflorescence is fully grown.
Primary inflorescences		8	38	kInflorescenceFemaleBractObject3DXRotationBeforeDraw	Bract X rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pInflor[kGenderFemale].bractTdoParams.xRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the X dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Primary inflorescences		8	39	kInflorescenceFemaleBractObject3DYRotationBeforeDraw	Bract Y rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pInflor[kGenderFemale].bractTdoParams.yRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Y dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Primary inflorescences		8	40	kInflorescenceFemaleBractObject3DZRotationBeforeDraw	Bract Z rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pInflor[kGenderFemale].bractTdoParams.zRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Z dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Primary inflorescences		8	41	kInflorescenceFemaleBractFaceColor	Bract front face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			100 100 0	FALSE	FALSE	pInflor[kGenderFemale].bractTdoParams.faceColor	1 MFD	The front face (facing up) color for inflorescence bracts.
Primary inflorescences		8	42	kInflorescenceFemaleBractBackfaceColor	Bract back face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			150 150 0	FALSE	FALSE	pInflor[kGenderFemale].bractTdoParams.backfaceColor	1 MFD	The back face (facing down) color for inflorescence bracts.
